Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-02-01,1.1909136301089445,1.1909136301089445,1.17259197177399,1.1817528009414673,13718164,0.0,0.0
1996-02-02,1.181752847685742,1.1909136772155762,1.172592018155908,1.1909136772155762,3828860,0.0,0.0
1996-02-05,1.1909135822662753,1.1909135822662753,1.1725919246673584,1.1725919246673584,908190,0.0,0.0
1996-02-06,1.1725919246673584,1.1909135822662753,1.1725919246673584,1.1725919246673584,509419,0.0,0.0
1996-02-07,1.1725919246673584,1.1909135822662753,1.1725919246673584,1.1725919246673584,366453,0.0,0.0
1996-02-08,1.1725919246673584,1.1909135822662753,1.1725919246673584,1.1725919246673584,794803,0.0,0.0
1996-02-09,1.1725919246673584,1.1909135822662753,1.1725919246673584,1.1725919246673584,515992,0.0,0.0
1996-02-12,1.1725919246673584,1.1909135822662753,1.1725919246673584,1.1725919246673584,351664,0.0,0.0
1996-02-13,1.1725919246673584,1.1909135822662753,1.1725919246673584,1.1725919246673584,216914,0.0,0.0
1996-02-14,1.1725919246673584,1.1909135822662753,1.1725919246673584,1.1725919246673584,460121,0.0,0.0
1996-02-15,1.1725919246673584,1.1725919246673584,1.1725919246673584,1.1725919246673584,250875,0.0,0.0
1996-02-16,1.1725917071094423,1.1909133613090337,1.154270052909851,1.154270052909851,491891,0.0,0.0
1996-02-20,1.1542694166765795,1.1725910607772811,1.062660813331604,1.062660813331604,769606,0.0,0.0
1996-02-21,1.062660813331604,1.0993041015330072,1.062660813331604,1.062660813331604,581176,0.0,0.0
1996-02-22,1.062660813331604,1.0993041015330072,1.062660813331604,1.062660813331604,251971,0.0,0.0
1996-02-23,1.0626619746402657,1.0993053028865898,1.0626619746402657,1.0809836387634277,486413,0.0,0.0
1996-02-26,1.0993045387971456,1.1359482244155674,1.0809828874087446,1.1176261901855469,218557,0.0,0.0
1996-02-27,1.1176263616689899,1.154270052909851,1.1176263616689899,1.154270052909851,1286146,0.0,0.0
1996-02-28,1.1359484195709229,1.154270074106975,1.1176263821931856,1.1359484195709229,219105,0.0,0.0
1996-02-29,1.1542705747795206,1.1725922372627156,1.1359489122963256,1.1634314060211182,289219,0.0,0.0
1996-03-01,1.1542702670684415,1.1725919246673584,1.1542702670684415,1.1725919246673584,528591,0.0,0.0
1996-03-04,1.154270052909851,1.1725917071094423,1.154270052909851,1.154270052909851,477649,0.0,0.0
1996-03-05,1.154270052909851,1.1725917071094423,1.154270052909851,1.154270052909851,175284,0.0,0.0
1996-03-06,1.154270145095449,1.154270145095449,1.0993047952651978,1.0993047952651978,1273548,0.0,0.0
1996-03-07,1.0993049615316257,1.1359486612412741,1.0993049615316257,1.1084657907485962,612946,0.0,0.0
1996-03-08,1.0993049930505263,1.1176266520097795,1.0443395376205444,1.0443395376205444,657315,0.0,0.0
1996-03-11,1.0809824574323055,1.0809824574323055,1.0443386906790681,1.062660813331604,346186,0.0,0.0
1996-03-12,1.0626614839395028,1.0993047952651978,1.0626614839395028,1.0993047952651978,297435,0.0,0.0
1996-03-13,1.0626614839395028,1.0993047952651978,1.0626614839395028,1.0993047952651978,135845,0.0,0.0
1996-03-14,1.0901432794826564,1.0993041015330072,1.062660813331604,1.062660813331604,405892,0.0,0.0
1996-03-15,1.062660813331604,1.0809824574323055,1.062660813331604,1.062660813331604,58063,0.0,0.0
